example_id                                                               | status  | run_time        |
./spec/models/gasto_spec.rb[1:2:6]                                       | passed  | 0.00355 seconds |
./spec/models/gasto_spec.rb[1:2:7]                                       | passed  | 0.00266 seconds |
./spec/models/gasto_spec.rb[1:2:8]                                       | passed  | 0.0031 seconds  |
./spec/models/gasto_spec.rb[1:3:1]                                       | passed  | 0.00968 seconds |
./spec/models/gasto_spec.rb[1:4:1]                                       | passed  | 0.00966 seconds |
./spec/models/gasto_spec.rb[1:4:2]                                       | passed  | 0.00903 seconds |
./spec/models/gasto_spec.rb[1:4:3]                                       | passed  | 0.00956 seconds |
./spec/models/gasto_spec.rb[1:4:4]                                       | passed  | 0.00912 seconds |
./spec/models/gasto_spec.rb[1:4:5]                                       | passed  | 0.00658 seconds |
./spec/models/gasto_spec.rb[1:4:6]                                       | passed  | 0.01003 seconds |
./spec/models/gasto_spec.rb[1:4:7]                                       | passed  | 0.0088 seconds  |
./spec/models/gasto_spec.rb[1:4:8]                                       | passed  | 0.00796 seconds |
./spec/models/gasto_spec.rb[1:4:9]                                       | passed  | 0.00706 seconds |
./spec/models/gasto_spec.rb[1:5:1]                                       | passed  | 0.0112 seconds  |
./spec/models/gasto_spec.rb[1:5:2]                                       | passed  | 0.01168 seconds |
./spec/models/ingreso_spec.rb[1:1:1]                                     | passed  | 0.00239 seconds |
./spec/models/ingreso_spec.rb[1:1:2]                                     | passed  | 0.00168 seconds |
./spec/models/ingreso_spec.rb[1:1:3]                                     | passed  | 0.00239 seconds |
./spec/models/ingreso_spec.rb[1:2:1]                                     | passed  | 0.01736 seconds |
./spec/models/ingreso_spec.rb[1:2:2]                                     | passed  | 0.00533 seconds |
./spec/models/ingreso_spec.rb[1:2:3]                                     | passed  | 0.01758 seconds |
./spec/models/ingreso_spec.rb[1:2:4]                                     | passed  | 0.00573 seconds |
./spec/models/ingreso_spec.rb[1:2:5]                                     | passed  | 0.00566 seconds |
./spec/models/ingreso_spec.rb[1:2:6]                                     | passed  | 0.01198 seconds |
./spec/models/ingreso_spec.rb[1:2:7]                                     | passed  | 0.00366 seconds |
./spec/models/ingreso_spec.rb[1:2:8]                                     | passed  | 0.01669 seconds |
./spec/models/ingreso_spec.rb[1:3:1:1]                                   | passed  | 0.01964 seconds |
./spec/models/ingreso_spec.rb[1:3:1:2]                                   | passed  | 0.02105 seconds |
./spec/models/ingreso_spec.rb[1:4:1]                                     | passed  | 0.07015 seconds |
./spec/models/ingreso_spec.rb[1:5:1]                                     | passed  | 0.00853 seconds |
./spec/models/ingreso_spec.rb[1:5:2]                                     | passed  | 0.00977 seconds |
./spec/models/ingreso_spec.rb[1:5:3]                                     | passed  | 0.0088 seconds  |
./spec/models/ingreso_spec.rb[1:5:4]                                     | passed  | 0.01327 seconds |
./spec/models/ingreso_spec.rb[1:5:5]                                     | passed  | 0.00917 seconds |
./spec/models/ingreso_spec.rb[1:5:6]                                     | passed  | 0.00909 seconds |
./spec/models/ingreso_spec.rb[1:5:7]                                     | passed  | 0.00902 seconds |
./spec/models/ingreso_spec.rb[1:5:8]                                     | passed  | 0.00946 seconds |
./spec/models/ingreso_spec.rb[1:5:9]                                     | passed  | 0.00876 seconds |
./spec/models/proveedor_spec.rb[1:1:1]                                   | passed  | 0.00346 seconds |
./spec/models/proveedor_spec.rb[1:2:1]                                   | passed  | 0.00388 seconds |
./spec/models/proveedor_spec.rb[1:3:1]                                   | passed  | 0.00333 seconds |
./spec/models/proveedor_spec.rb[1:4:1]                                   | passed  | 0.00611 seconds |
./spec/models/retiro_utilidad_spec.rb[1:1:1]                             | passed  | 0.00201 seconds |
./spec/models/retiro_utilidad_spec.rb[1:1:2]                             | passed  | 0.00247 seconds |
./spec/models/retiro_utilidad_spec.rb[1:1:3]                             | passed  | 0.00169 seconds |
./spec/models/retiro_utilidad_spec.rb[1:1:4]                             | passed  | 0.00239 seconds |
./spec/models/retiro_utilidad_spec.rb[1:1:5]                             | passed  | 0.00172 seconds |
./spec/models/retiro_utilidad_spec.rb[1:1:6]                             | passed  | 0.00189 seconds |
./spec/models/retiro_utilidad_spec.rb[1:2:1]                             | passed  | 0.00735 seconds |
./spec/models/retiro_utilidad_spec.rb[1:2:2]                             | passed  | 0.00659 seconds |
./spec/models/retiro_utilidad_spec.rb[1:3:1]                             | passed  | 0.00746 seconds |
./spec/models/retiro_utilidad_spec.rb[1:3:2]                             | passed  | 0.01378 seconds |
./spec/models/retiro_utilidad_spec.rb[1:3:3]                             | passed  | 0.01002 seconds |
./spec/models/retiro_utilidad_spec.rb[1:3:4]                             | passed  | 0.00892 seconds |
./spec/models/retiro_utilidad_spec.rb[1:3:5]                             | passed  | 0.00895 seconds |
./spec/models/tipo_cambio_spec.rb[1:1]                                   | passed  | 0.00138 seconds |
./spec/models/usuario_spec.rb[1:1:1:1]                                   | passed  | 0.00087 seconds |
./spec/models/usuario_spec.rb[1:1:2:1]                                   | passed  | 0.00103 seconds |
./spec/models/usuario_spec.rb[1:1:3:1]                                   | passed  | 0.00086 seconds |
./spec/models/usuario_spec.rb[1:2:1:1]                                   | passed  | 0.00442 seconds |
./spec/models/usuario_spec.rb[1:2:2:1]                                   | passed  | 0.00462 seconds |
./spec/requests/distribucion_utilidades_spec.rb[1:1:1:1]                 | passed  | 0.01988 seconds |
./spec/requests/distribucion_utilidades_spec.rb[1:1:1:2]                 | passed  | 0.02214 seconds |
./spec/requests/distribucion_utilidades_spec.rb[1:1:2:1]                 | passed  | 0.01016 seconds |
./spec/requests/distribucion_utilidades_spec.rb[1:1:3:1]                 | passed  | 0.00583 seconds |
./spec/requests/gastos_spec.rb[1:1:1:1]                                  | passed  | 0.01836 seconds |
./spec/requests/gastos_spec.rb[1:1:1:2]                                  | passed  | 0.02019 seconds |
./spec/requests/gastos_spec.rb[1:1:2:1]                                  | passed  | 0.0154 seconds  |
./spec/requests/ingresos_spec.rb[1:1:1:1]                                | passed  | 0.02224 seconds |
./spec/requests/ingresos_spec.rb[1:1:1:2]                                | passed  | 0.02059 seconds |
./spec/requests/ingresos_spec.rb[1:1:2:1]                                | passed  | 0.03766 seconds |
./spec/requests/registrations_spec.rb[1:1:1:1]                           | passed  | 0.00974 seconds |
./spec/requests/registrations_spec.rb[1:1:2:1]                           | passed  | 0.00907 seconds |
./spec/requests/registrations_spec.rb[1:1:3:1]                           | passed  | 0.01545 seconds |
./spec/requests/retiro_utilidades_spec.rb[1:1:1:1]                       | passed  | 0.01761 seconds |
./spec/requests/retiro_utilidades_spec.rb[1:1:1:2]                       | passed  | 0.01498 seconds |
./spec/requests/retiro_utilidades_spec.rb[1:1:2:1]                       | passed  | 0.00875 seconds |
./spec/requests/retiro_utilidades_spec.rb[1:1:3:1]                       | passed  | 0.00545 seconds |
./spec/requests/sessions_spec.rb[1:1:1:1]                                | passed  | 0.00901 seconds |
./spec/requests/sessions_spec.rb[1:1:2:1]                                | passed  | 0.00762 seconds |
./spec/requests/sessions_spec.rb[1:2:1]                                  | passed  | 0.01657 seconds |
./spec/system/authentication_spec.rb[1:1:1]                              | passed  | 2.45 seconds    |
./spec/system/ingresos_spec.rb[1:1:1]                                    | failed  | 0.05892 seconds |
./spec/system/ingresos_spec.rb[1:2:1]                                    | failed  | 0.06472 seconds |
./spec/system/ingresos_spec.rb[1:3:1]                                    | passed  | 0.02563 seconds |
./spec/system/integrated_flow_spec.rb[1:1]                               | passed  | 0.03699 seconds |
./spec/system/smoke_spec.rb[1:1:1]                                       | passed  | 0.00761 seconds |
./spec/system/smoke_spec.rb[1:2:1]                                       | passed  | 0.04191 seconds |
./spec/system/smoke_spec.rb[1:3:1]                                       | pending | 0.00328 seconds |
